,State,County,Municipality/City,Data Year,ActivityProducedBy,Point of Measurement,Data Reliability,Location,Study ID,Residential Breakout (tons),Commercial Breakout (tons),Institutional Breakout (tons),Industrial Breakout (tons),C&D Breakout (tons),Other Generator Breakout (tons),Other Generator Notes,State-Level,County-Level,Municipality/City-Level,Recycling Includes Composting,Compost,Exports,Imports,Landfill,MRF,Other,Other- AD,Other- Incinerator,Total Disposal,Total Disposed,Total Recycling,WTE
101,Mississippi,Coahoma,,2007,Unspecified,Landfill,2.0,28027,164.0,0.0,0,0,0,0.0,0,nan,N,Y,N,U,0.0,0.0,0.0,5506.0,0.0,0.0,,,0.0,,0.0,0.0
102,Mississippi,Copiah,,2007,Unspecified,Landfill,2.0,28029,164.0,0.0,0,0,0,0.0,0,nan,N,Y,N,U,0.0,0.0,0.0,33732.0,0.0,0.0,,,0.0,,0.0,0.0
103,Mississippi,Covington,,2007,Unspecified,Landfill,2.0,28031,164.0,0.0,0,0,0,0.0,0,nan,N,Y,N,U,0.0,0.0,0.0,9572.0,0.0,0.0,,,0.0,,0.0,0.0
104,Mississippi,Desoto,,2007,Unspecified,Landfill,2.0,28033,164.0,0.0,0,0,0,0.0,0,nan,N,Y,N,U,0.0,0.0,0.0,54263.0,0.0,0.0,,,0.0,,0.0,0.0
105,Mississippi,Forrest,,2007,Unspecified,Landfill,2.0,28035,164.0,0.0,0,0,0,0.0,0,nan,N,Y,N,U,0.0,0.0,0.0,90354.0,0.0,0.0,,,0.0,,0.0,0.0
106,Mississippi,Franklin,,2007,Unspecified,Landfill,2.0,28037,164.0,0.0,0,0,0,0.0,0,nan,N,Y,N,U,0.0,0.0,0.0,3586.0,0.0,0.0,,,0.0,,0.0,0.0
107,Mississippi,George,,2007,Unspecified,Landfill,2.0,28039,164.0,0.0,0,0,0,0.0,0,nan,N,Y,N,U,0.0,0.0,0.0,1935.0,0.0,0.0,,,0.0,,0.0,0.0
108,Mississippi,Greene,,2007,Unspecified,Landfill,2.0,28041,164.0,0.0,0,0,0,0.0,0,nan,N,Y,N,U,0.0,0.0,0.0,5023.0,0.0,0.0,,,0.0,,0.0,0.0
109,Mississippi,Grenada,,2007,Unspecified,Landfill,2.0,28043,164.0,0.0,0,0,0,0.0,0,nan,N,Y,N,U,0.0,0.0,0.0,25870.0,0.0,0.0,,,0.0,,0.0,0.0
110,Mississippi,Hancock,,2007,Unspecified,Landfill,2.0,28045,164.0,0.0,0,0,0,0.0,0,nan,N,Y,N,U,0.0,0.0,0.0,50903.0,0.0,0.0,,,0.0,,0.0,0.0
111,Mississippi,Harrison,,2007,Unspecified,Landfill,2.0,28047,164.0,0.0,0,0,0,0.0,0,nan,N,Y,N,U,0.0,0.0,0.0,184951.0,0.0,0.0,,,0.0,,0.0,0.0
112,Mississippi,Hinds,,2007,Unspecified,Landfill,2.0,28049,164.0,0.0,0,0,0,0.0,0,nan,N,Y,N,U,0.0,0.0,0.0,240933.0,0.0,0.0,,,0.0,,0.0,0.0
113,Mississippi,Holmes,,2007,Unspecified,Landfill,2.0,28051,164.0,0.0,0,0,0,0.0,0,nan,N,Y,N,U,0.0,0.0,0.0,12742.0,0.0,0.0,,,0.0,,0.0,0.0
114,Mississippi,Humphreys,,2007,Unspecified,Landfill,2.0,28053,164.0,0.0,0,0,0,0.0,0,nan,N,Y,N,U,0.0,0.0,0.0,8182.0,0.0,0.0,,,0.0,,0.0,0.0
115,Mississippi,Issaquena,,2007,Unspecified,Landfill,2.0,28055,164.0,0.0,0,0,0,0.0,0,nan,N,Y,N,U,0.0,0.0,0.0,55.0,0.0,0.0,,,0.0,,0.0,0.0
116,Mississippi,Itawamba,,2007,Unspecified,Landfill,2.0,28057,164.0,0.0,0,0,0,0.0,0,nan,N,Y,N,U,0.0,0.0,0.0,5499.0,0.0,0.0,,,0.0,,0.0,0.0
117,Mississippi,Jackson,,2007,Unspecified,Landfill,2.0,28059,164.0,0.0,0,0,0,0.0,0,nan,N,Y,N,U,0.0,0.0,0.0,110287.0,0.0,0.0,,,0.0,,0.0,0.0
118,Mississippi,Jasper,,2007,Unspecified,Landfill,2.0,28061,164.0,0.0,0,0,0,0.0,0,nan,N,Y,N,U,0.0,0.0,0.0,9912.0,0.0,0.0,,,0.0,,0.0,0.0
